hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
Tennessee,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,7,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Music, Religious group, Speech and Debate, Theater",No,No,EDI,,No,,Yes,34,No,No,No,"Location, Academics, School size, Post-grad opportunities, Brand name/rankings, Campus","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",6,4,2,3,1,3,3,2,2,"Yes, in Tennessee",Yes,4,Twice a week,Once a semester,None,"Illinois, Tennessee"
New York,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,7,My school did not offer,9,6,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Music, Work/Internship (Paid), Students Assisting Students (Classroom Volunteering), Youth Court, Instruments Inspire (Nonprofit Executive Leadership)",No,No,EDI,"SUNY Oneonta, SUNY New Paltz, Roanoke College, Manhattanville College, Pace University, SUNY Plattsburgh, SUNY Geneseo, Fordham University, Marist College, SUNY Cortland",No,,No,,No,No,No,"Location, Academics, Campus",Campus tour,Peabody College of Education and Human Development,No,No,North,North,"Yes, less than half the cost of attendance",No,I don't know,No,3,4,4,4,4,2,7,7,5,I am not eligible to vote,,2,Never,Never,None,N/A (I have never owned a fake ID)
California,"White/Caucasian, African American/Black",No,Questioning/unsure,Male,No,No,No,"$75,000 - $99,999",No,No,Private,1,My school did not offer,My school did not offer,1,"Cultural and Affinity Clubs, Music",Yes,No,Regular Decision,"University of Michigan, Oberlin College and conservatory ",No,,No,,No,No,No,"Cost, Faculty, Brand name/rankings",Campus tour,Blair School of Music,No,No,Crawford,Option 7,"Yes, full cost of attendence",No,$0 ,No,2,7,5,3,6,2,7,5,7,"Yes, in my home state/country",No,2,Once a month,Once a semester,None,N/A (I have never owned a fake ID)
Tennessee,White/Caucasian,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,3,My school did not offer,8,2,"Athletics, Community Service, Music, Work/Internship (Paid)",Yes,No,Regular Decision,,No,,Yes,35,No,No,No,"Cost, Location, School size","Campus tour, 'Dore For A Day, Anchor Day, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,3,4,6,5,4,1,4,5,5,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Connecticut,African American/Black,No,Bisexual/pansexual,Female,No,No,No,"$300,000 - $499,999",No,No,Public,3,My school did not offer,10+,6,"Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Theater",No,No,Regular Decision,"American University, University of Connecticut",No,,No,,No,No,No,"Location, Academics, School size","Campus tour, MOSAIC",College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,No,"Yes, full tuition",$0 ,No,3,5,1,4,5,4,7,7,7,"Yes, in my home state/country",Yes,3,Once a week,Never,None,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Heterosexual,Male,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Religious group",Yes,No,Regular Decision,"Washington University in St. Louis, The Ohio State University, University of Georgia",Yes,1570,Yes,36,No,No,No,"Cost, Location, Academics",Anchor Day,Peabody College of Education and Human Development,No,No,Murray,Murray,"Yes, less than half the cost of attendance","Yes, full tuition",$0 ,No,3,7,3,2,5,5,5,1,7,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Florida,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Male,No,Yes,No,"$150,000 - $199,999",No,No,Public,10+,10+,10+,7,"Community Service, Internship (unpaid), Student Government, Work/Internship (Paid)",Yes,No,Regular Decision,"Amherst, BU, Brown, Duke, Emory, FSU, Northwestern, Swarthmore, Tufts, UF, UNC Chapel Hill, UVA, Vanderbilt, WashU St. Louis",Yes,1580,Yes,35,No,No,No,"Cost, Academics, School size","Campus tour, 'Dore For A Day, Commodore Launch, MOSAIC",College of Arts of Science,No,No,West,West,"Yes, more than half the cost of attendance","Yes, full tuition",$0 ,No,2,6,3,1,7,1,7,7,7,I am not eligible to vote,No,3,Never,Never,None,N/A (I have never owned a fake ID)
North Carolina,White/Caucasian,No,Bisexual/pansexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,My school did not offer,My school did not offer,10+,10+,"Advocacy, Community Service, Student Government, Work/Internship (Paid)",No,No,EDI,"UNCG, Gardner-Webb, Queens University of Charlotte, Lenior-Rhyne",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings","Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999",Not sure,1,7,3,5,7,1,7,7,7,"Yes, in my home state/country",Yes,4,Never,Never,None,N/A (I have never owned a fake ID)
New York,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Public,8,My school did not offer,3,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Journalism, Work/Internship (Paid)",Yes,No,EDII,,Yes,1550,No,,No,No,No,"Cost, Location, Academics",Commodore Launch,School of Engineering,No,No,Hank Ingram,Hank Ingram,No,"Yes, full tuition","$20,000 - $29,999",Not sure,2,7,2,1,7,1,7,6,7,I am registered to vote but do not vote,No,0,Once a semester,Never,None,
South Korea,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Private,10+,My school did not offer,7,1,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Model UN, Research, Speech and Debate, Student Government",No,No,Waitlist,,Yes,,No,,No,No,No,"Academics, School size, Brand name/rankings",None,College of Arts of Science,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,4,4,4,4,2,3,4,5,6,"Yes, in my home state/country",,4,,Never,None,N/A (I have never owned a fake ID)
Virginia,African American/Black,No,Heterosexual,Male,No,No,No,"$0 - $49,999",No,No,Public,9,My school did not offer,My school did not offer,0,"Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Work/Internship (Paid)",Yes,No,EDI,"Virginia Commonwealth University, Hampton University",No,,No,,No,No,No,"Cost, Location, Academics",Commodore Launch,Peabody College of Education and Human Development,No,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,4,2,1,5,2,4,4,6,"Yes, in my home state/country",No,1,Never,Never,None,N/A (I have never owned a fake ID)
